group_name,group_display_name,is_tribunal,court_name,court_code,grouped_name,long_name,param,ncn_examples,start_year,end_year,link
supreme_court,,False,United Kingdom Supreme Court,UKSC,,The Supreme Court,uksc,[2013] UKSC 42,2009,,https://www.supremecourt.uk/
privy_council,,False,Privy Council,UKPC,,The Judicial Committee of the Privy Council,ukpc,[2011] UKPC 25,2009,,https://www.jcpc.uk/
court_of_appeal,Court of Appeal,False,Court of Appeal (Civil Division),EWCA-Civil,Civil Division,The Court of Appeal of England and Wales (Civil Division),ewca/civ,[2008] EWCA Civ 649,2001,,https://www.gov.uk/courts-tribunals/court-of-appeal-civil-division
court_of_appeal,Court of Appeal,False,Court of Appeal (Criminal Division),EWCA-Criminal,Criminal Division,The Court of Appeal of England and Wales (Criminal Division),ewca/crim,[2014] EWCA Crim 420,2003,,https://www.gov.uk/courts-tribunals/court-of-appeal-criminal-division
high_court,High Court (England and Wales),False,High Court,EWHC,,The High Court of Justice,,,,,https://www.judiciary.uk/courts-and-tribunals/high-court/
high_court,High Court (England and Wales),False,High Court (Administrative Court),EWHC-QBD-Admin,Administrative Court,The Administrative Court (Queen's Bench Division),ewhc/admin,[2009] EWHC 995 (Admin),2003,,https://www.gov.uk/courts-tribunals/administrative-court
high_court,High Court (England and Wales),False,High Court (Administrative Court),EWHC-KBD-Admin,Administrative Court,The Administrative Court (King's Bench Division),ewhc/admin,[2025] EWHC 2152 (Admin),2022,,https://www.gov.uk/courts-tribunals/administrative-court
high_court,High Court (England and Wales),False,High Court (Admiralty Division),EWHC-QBD-Admiralty,Admiralty Court,The Business and Property Courts (Admiralty Court),ewhc/admlty,[2018] EWHC 82 (Admlty),2003,,https://www.gov.uk/courts-tribunals/admiralty-court
high_court,High Court (England and Wales),False,High Court (Admiralty Division),EWHC-KBD-Admiralty,Admiralty Court,The Business and Property Courts (Admiralty Court),ewhc/admlty,[2024] EWHC 16 (Admlty),2022,,https://www.gov.uk/courts-tribunals/admiralty-court
high_court,High Court (England and Wales),False,High Court (Business and Property Courts),EWHC-QBD-BusinessAndProperty,Business and Property Courts,The Business and Property Courts (Queen's Bench Division),,,,,https://www.gov.uk/courts-tribunals/the-business-and-property-courts
high_court,High Court (England and Wales),False,High Courts (Business and Property Courts),EWHC-KBD-BusinessAndProperty,Business and Property Courts,The Business and Property Courts (King's Bench Division),,,,,https://www.gov.uk/courts-tribunals/the-business-and-property-courts
high_court,High Court (England and Wales),False,High Court (Business and Property Courts),EWHC-Chancery-BusinessAndProperty,Business and Property Courts,The Business and Property Courts (Chancery Division),,,,,https://www.gov.uk/courts-tribunals/the-business-and-property-courts
high_court,High Court (England and Wales),False,High Court (Business List),EWHC-Chancery-Business,Business List,The Business and Property Courts (Business List),,,,,https://www.gov.uk/courts-tribunals/the-business-list
high_court,High Court (England and Wales),False,Chancery Appeals,EWHC-Chancery-Appeals,High Court (Chancery Appeals),The Business and Property Courts (Chancery Appeals),,,,,https://www.gov.uk/courts-tribunals/chancery-division-of-the-high-court
high_court,High Court (England and Wales),False,High Court (Chancery Division),EWHC-Chancery,Chancery Division,The Chancery Division of the High Court,ewhc/ch,[2016] EWHC 2142 (Ch),2003,,https://www.gov.uk/courts-tribunals/chancery-division-of-the-high-court
high_court,High Court (England and Wales),False,High Court (Circuit Commercial Court),EWHC-QBD-Commercial-Circuit,Circuit Commercial Court,The Business and Property Courts (Circuit Commercial Court),,[2021] EWHC 286 (Comm),,,https://www.gov.uk/courts-tribunals/commercial-circuit-court
high_court,High Court (England and Wales),False,High Court (Circuit Commercial Court),EWHC-KBD-Commercial-Circuit,Circuit Commercial Court,The Business and Property Courts (Circuit Commercial Court),,[2023] EWHC 2168 (Comm),,,https://www.gov.uk/courts-tribunals/commercial-circuit-court
high_court,High Court (England and Wales),False,High Court (Commercial Court),EWHC-QBD-Commercial,Commercial Court,The Business and Property Courts (Commercial Court),ewhc/comm,[2011] EWHC 68 (Comm),2003,,https://www.gov.uk/courts-tribunals/commercial-court
high_court,High Court (England and Wales),False,High Court (Commercial Court),EWHC-KBD-Commercial,Commercial Court,The Business and Property Courts (Commercial Court),ewhc/comm,[2024] EWHC 789 (Comm),2022,,https://www.gov.uk/courts-tribunals/commercial-court
high_court,High Court (England and Wales),False,High Court (Family Division),EWHC-Family,Family Division,The Family Division of the High Court,ewhc/fam,[2013] EWHC 3158 (Fam),2003,,https://www.gov.uk/courts-tribunals/family-division-of-the-high-court
high_court,High Court (England and Wales),False,High Court (Financial List),EWHC-QBD-Commercial-Financial,Financial List,The Business and Property Courts (The Financial List) (QBD),,[2014] EWHC 3156 (Comm),,,https://www.gov.uk/courts-tribunals/the-financial-list
